county_name,population,region
Cook,5173363,Chicagoland
DuPage,932877,Chicagoland
Lake,714342,Chicagoland
Will,696355,Chicagoland
Kane,516522,Chicagoland
McHenry,307774,Downstate
Winnebago,285350,Downstate
Madison,265859,Downstate
St. Clair,257400,Downstate
Sangamon,196778,Downstate
Champaign,205865,Downstate
Rock Island,144277,Downstate
Peoria,179179,Downstate
Tazewell,131343,Downstate
McLean,170954,Downstate
LaSalle,109658,Downstate
Macon,104286,Downstate
Kendall,131869,Downstate
DeKalb,100420,Downstate
Kankakee,107502,Downstate
