incident_date,county_name,crime_type,incident_count,cleared_count,population,crime_rate_per_100k,clearance_rate
2020-01-01,Cook,Larceny-Theft,56413,22140,5173363,1090.4512209949312,0.39246273022175737
2020-01-01,Lake,Violent Crime,3965,1311,714342,555.0562615665885,0.33064312736443885
2020-02-01,Lake,Burglary,2846,690,714342,398.40860540189436,0.24244553759662685
2020-02-01,Kankakee,Aggravated Assault,479,79,107502,445.57310561663974,0.1649269311064718
2020-03-01,LaSalle,Robbery,333,66,109658,303.67141476226084,0.1981981981981982
2020-03-01,McHenry,Rape,461,81,307774,149.78523202089846,0.175704989154013
2020-05-01,Cook,Rape,7184,1844,5173363,138.86518305404047,0.2566815144766147
2020-06-01,Sangamon,Burglary,900,230,196778,457.36820172986813,0.25555555555555554
2020-06-01,Kankakee,Robbery,232,38,107502,215.80993841975032,0.16379310344827586
2020-06-01,McHenry,Property Crime,7384,1770,307774,2399.1630222176013,0.23970747562296857
2020-08-01,Peoria,Violent Crime,1322,232,179179,737.8096763571624,0.17549167927382753
2020-08-01,Kane,Aggravated Assault,2022,338,516522,391.46444875532893,0.1671612265084075
2020-10-01,Macon,Rape,105,34,104286,100.68465565847765,0.3238095238095238
2020-10-01,McLean,Larceny-Theft,2144,821,170954,1254.1385401920984,0.3829291044776119
2020-10-01,Lake,Burglary,2919,899,714342,408.6278001293498,0.3079821856800274
2020-10-01,Kankakee,Rape,109,31,107502,101.3934624472103,0.28440366972477066
2020-11-01,McLean,Aggravated Assault,1028,243,170954,601.3313522935994,0.23638132295719844
2020-11-01,McHenry,Aggravated Assault,1955,627,307774,635.2063527133546,0.3207161125319693
2020-12-01,Winnebago,Burglary,1327,509,285350,465.04292973541266,0.3835719668425019
2021-01-01,Lake,Violent Crime,4067,928,714342,569.3351363912524,0.2281780181952299
2021-01-01,Champaign,Violent Crime,1223,481,205865,594.0786437714036,0.39329517579721995
2021-02-01,Rock Island,Rape,102,31,144277,70.69733914622567,0.30392156862745096
2021-02-01,Sangamon,Motor Vehicle Theft,510,126,196778,259.17531431359197,0.24705882352941178
2021-04-01,Madison,Burglary,1625,473,265859,611.2262515092586,0.29107692307692307
2021-04-01,Winnebago,Violent Crime,2558,860,285350,896.4429647800946,0.33620015637216577
2021-04-01,Rock Island,Motor Vehicle Theft,369,66,144277,255.75802102899286,0.17886178861788618
2021-05-01,McHenry,Larceny-Theft,5207,1705,307774,1691.8258202447253,0.32744382561935853
2021-05-01,Champaign,Robbery,563,212,205865,273.4801933305807,0.3765541740674956
2021-06-01,DuPage,Rape,827,128,932877,88.65048661291897,0.154776299879081
2021-06-01,Kankakee,Rape,122,32,107502,113.48626072073078,0.26229508196721313
2021-07-01,Tazewell,Violent Crime,1140,213,131343,867.9564194513603,0.1868421052631579
2021-07-01,St. Clair,Property Crime,5140,826,257400,1996.891996891997,0.16070038910505838
2021-07-01,Peoria,Aggravated Assault,1156,417,179179,645.1648909749468,0.3607266435986159
2021-08-01,Winnebago,Aggravated Assault,2180,329,285350,763.9740669353425,0.15091743119266054
2021-08-01,Winnebago,Robbery,848,320,285350,297.17890310145435,0.37735849056603776
2021-10-01,DeKalb,Property Crime,1576,564,100420,1569.4084843656642,0.35786802030456855
2021-11-01,LaSalle,Property Crime,1978,323,109658,1803.7899651644204,0.16329625884732052
2021-11-01,Rock Island,Larceny-Theft,968,243,144277,670.9316107210436,0.2510330578512397
2021-12-01,Winnebago,Violent Crime,2004,556,285350,702.295426669003,0.2774451097804391
2021-12-01,McHenry,Burglary,1537,609,307774,499.39241131479594,0.39622641509433965
2022-01-01,Rock Island,Robbery,212,81,144277,146.93956763725333,0.38207547169811323
